nom;type d'activité;types de public;exposition;réservation;nature de client;type de client;catégorie de client;niveau de groupe;langue du groupe;thème;date;heure;durée;fin;en vente;nature de la séance;salles;langues de l'activite;matériels;places ouvertes;places vendues;places disponibles;overbooking;overbooking vendu;overbooking disponible;taux de remplissage;Montant;temps de préparation;temps de rangement;temps annexe total;Types de public (croisement col C et F);AGE ( Type de client ? Col H);Niveau groupe / détail âge (col I);langue;TARIF;
VG - 2H - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;;1925-2025. CENT ANS D'ART DÉCO;Dossier 5885;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Friday, November 21, 2025;11:15;120;13:15;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 8;0;10;0;0;0;0;0;275.00;15;0;15;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4001;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, November 21, 2025;12:45;90;14:15;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 4;20;10;10;0;0;0;50;185.00;0;0;0;;;;;;
VG - 1H30 - PAUL POIRET;VISITE GUIDÉE;ADULTES (15 ANS ET +);PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3922;Individuel;Individuels;;31_Adultes;Français;;Friday, November 21, 2025;14:00;90;15:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;12;0;0;0;0;0;250.00;15;0;15;;;;;;
VG - 1H30 - PAUL POIRET;VISITE GUIDÉE;ADULTES (15 ANS ET +);PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 5094;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;19_Terminale Pro;Français;;Friday, November 21, 2025;10:15;90;11:45;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 5;0;14;0;0;0;0;0;105.00;15;0;15;;;;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5444;Organisme;Lycée d'Enseignement Général;Groupe Education 2nd degré + enseignement sup;00_VL;Français;;Friday, November 21, 2025;12:15;90;13:45;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;15;15;0;0;0;50;0;0;0;0;;;;;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5268;Organisme;Lycée d'Enseignement Général;Groupe Education 2nd degré + enseignement sup;00_VL;Français;;Friday, November 21, 2025;13:15;90;14:45;1;A;;Français;;30;15;15;0;0;0;50;0;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4518;Individuel;Individuels;;00_VL;Français;;Friday, November 21, 2025;14:45;90;16:15;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;;30;15;15;0;0;0;50;0;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 6031;Organisme;ADC;Groupe Adulte - Interne;30_Interne;Français;;Friday, November 21, 2025;17:00;90;18:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;;0;15;0;0;0;0;0;0;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4085;Individuel;Individuels;;00_VL;Français;;Friday, November 21, 2025;15:45;90;17:15;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 4;20;17;3;0;0;0;85;290.00;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4644;Individuel;Individuels;;00_VL;Français;;Friday, November 21, 2025;11:45;90;13:15;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 6;20;19;1;0;0;0;95;70.00;0;0;0;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3381;Individuel;Individuels;;00_VL;Français;;Friday, November 21, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 7;20;19;1;0;0;0;95;320.00;0;0;0;;;;;;
PRIVATISATIONS - 1925-2025. CENT ANS D'ART DECO;PRIVATISATION;;1925-2025. CENT ANS D'ART DÉCO;Dossier 5570;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Anglais;;Friday, November 21, 2025;09:00;90;10:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 6;0;20;0;0;0;0;0;0;15;0;15;;;;;;
VG - 2H - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;;1925-2025. CENT ANS D'ART DÉCO;Dossier 3641;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, November 21, 2025;10:00;120;12:00;1;G;N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 1;0;20;0;0;0;0;0;150.00;15;0;15;;;;;;
VG - 2H - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;;1925-2025. CENT ANS D'ART DÉCO;Dossier 3969;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Anglais;;Friday, November 21, 2025;10:15;120;12:15;1;G;N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 2;0;20;0;0;0;0;0;370.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 4169;Individuel;Individuels;;31_Adultes;Français;;Friday, November 21, 2025;11:00;90;12:30;1;G;N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 3;0;20;0;0;0;0;0;330.00;15;0;15;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 4971;Organisme;Collège et Lycée;Groupe Education - 2nd Degré;09_Sixième;Français;;Friday, November 21, 2025;11:15;90;12:45;1;A;;;;30;20;10;0;0;0;66;0;0;0;0;;;;;;
VG - 1H - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;;;;;;;;Friday, November 21, 2025;12:30;60;13:30;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;Français;Expo - Audiophone 3;20;20;0;0;0;0;100;560.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 5016;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, November 21, 2025;13:00;90;14:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 2;0;20;0;0;0;0;0;360.00;15;0;15;;;;;;
VG - 2H - PAUL POIRET;VISITE GUIDÉE;;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 4059;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Friday, November 21, 2025;15:00;120;17:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;350.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;;;;;;;;Friday, November 21, 2025;16:00;90;17:30;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;Français;Expo - Audiophone 5;20;20;0;0;0;0;100;700.00;15;0;15;;;;;;
VA - BIJOU EN FOLIE;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;GALERIE DES BIJOUX;Dossier 5178;Organisme;Primaire;Groupe Education - 1er Degré;04_CP;Français;;Friday, November 21, 2025;10:00;120;12:00;1;G;N2 - Rohan - Galerie des bijoux, N3 - Rohan - Moyen Âge, N3 - Rohan - Renaissance, N4 - Atelier Sonia Delaunay, N5 - Marsan;;;0;21;0;0;0;0;0;170.00;15;15;30;;;;;;
VG - 2H - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;;1925-2025. CENT ANS D'ART DÉCO;Dossier 4464;Organisme;1er Degré;Groupe Adulte - Enseignants;31_Adultes;Français;;Friday, November 21, 2025;10:00;120;12:00;1;G;N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 4;0;25;0;0;0;0;0;0;15;0;15;;;;;;
VA - TYPO ART DECO;VISITE-ATELIER;11-14 ANS;1925-2025. CENT ANS D'ART DÉCO;Dossier 5440;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;17_Première Pro;Français;;Friday, November 21, 2025;14:00;120;16:00;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, N4 - Atelier Buffon, NEF - EXPO;;;0;27;0;0;0;0;0;170.00;15;15;30;;;;;;
VA - TYPO ART DECO;VISITE-ATELIER;11-14 ANS;1925-2025. CENT ANS D'ART DÉCO;Dossier 5173;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;19_Terminale Pro;Français;;Friday, November 21, 2025;14:30;120;16:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, N4 - Atelier Memphis, NEF - EXPO;;;0;28;0;0;0;0;0;170.00;15;15;30;;;;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 4893;Individuel;Individuels;;00_VL;Français;;Friday, November 21, 2025;13:45;90;15:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;29;1;0;0;0;96;0;0;0;0;;;;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5442;Organisme;Lycée d'Enseignement Général;Groupe Education 2nd degré + enseignement sup;00_VL;Français;;Friday, November 21, 2025;11:45;90;13:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;30;0;0;0;0;100;0;0;0;0;;;;;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5803;Organisme;Enseignement Supérieur;Groupe Adulte - Enseignants;00_VL;Français;;Friday, November 21, 2025;11:45;90;13:15;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;30;0;0;0;0;100;0;0;0;0;;;;;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5807;Organisme;Enseignement Supérieur;Groupe Adulte - Enseignants;00_VL;Français;;Friday, November 21, 2025;12:15;90;13:45;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;30;0;0;0;0;100;0;0;0;0;;;;;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5267;Organisme;Lycée d'Enseignement Général;Groupe Education 2nd degré + enseignement sup;00_VL;Français;;Friday, November 21, 2025;12:45;90;14:15;1;A;;Français;;30;30;0;0;0;0;100;0;0;0;0;;;;;;
VA - TYPO ART DECO;VISITE-ATELIER;11-14 ANS;1925-2025. CENT ANS D'ART DÉCO;Dossier 5173;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;18_Seconde Pro;Français;;Friday, November 21, 2025;14:15;120;16:15;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, N4 - Atelier Sonia Delaunay, NEF - EXPO;;;0;30;0;0;0;0;0;170.00;15;15;30;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 4053;Individuel;Individuels;;00_VL;Français;;Saturday, November 22, 2025;11:45;90;13:15;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 4;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3296;Individuel;Individuels;;00_VL;Français;;Saturday, November 22, 2025;12:45;90;14:15;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 5;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4116;Individuel;Individuels;;00_VL;Français;;Saturday, November 22, 2025;12:15;90;13:45;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 2;20;10;10;0;0;0;50;185.00;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4391;Individuel;Individuels;;00_VL;Français;;Saturday, November 22, 2025;13:15;90;14:45;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 6;20;15;5;0;0;0;75;260.00;0;0;0;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 4993;Organisme;Université;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Français;;Saturday, November 22, 2025;10:00;90;11:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 2;0;20;0;0;0;0;0;105.00;15;0;15;;;;;;
VG - 2H - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;;1925-2025. CENT ANS D'ART DÉCO;Dossier 3360;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Saturday, November 22, 2025;10:15;120;12:15;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 3;0;20;0;0;0;0;0;375.00;15;0;15;;;;;;
VG - 1H30 - PAUL POIRET;VISITE GUIDÉE;ADULTES (15 ANS ET +);PAUL POIRET, LA MODE EST UNE FÊTE;;;;;;;;Saturday, November 22, 2025;11:30;90;13:00;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;Français;Expo - Audiophone 1;20;20;0;0;0;0;100;600.00;15;0;15;;;;;;
VG - 1H30 - PAUL POIRET;VISITE GUIDÉE;ADULTES (15 ANS ET +);PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3450;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Saturday, November 22, 2025;14:00;90;15:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;330.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;;;;;;;;Saturday, November 22, 2025;14:00;90;15:30;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;Français;Expo - Audiophone 3;20;20;0;0;0;0;100;640.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 4968;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Saturday, November 22, 2025;14:15;90;15:45;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 4;0;20;0;0;0;0;0;360.00;15;0;15;;;;;;
VG - 1H30 - PAUL POIRET;VISITE GUIDÉE;ADULTES (15 ANS ET +);PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3451;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Saturday, November 22, 2025;14:45;90;16:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;330.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 5306;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Saturday, November 22, 2025;16:00;90;17:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 1;0;20;0;0;0;0;0;360.00;15;0;15;;;;;;
VG - 1H30 - PAUL POIRET;VISITE GUIDÉE;ADULTES (15 ANS ET +);PAUL POIRET, LA MODE EST UNE FÊTE;;;;;;;;Saturday, November 22, 2025;16:00;90;17:30;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;Français;Expo - Audiophone 3;20;20;0;0;0;0;100;636.00;15;0;15;;;;;;
VA - PALETTE DE STYLE : SO ART DÉCO;VISITE-ATELIER;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;;;;;;;;Sunday, November 23, 2025;10:30;120;12:30;1;A;N3 - Lefuel Rivoli - Moderne et Contemporain, N5 - Marsan, N6 - Marsan, N7 - Marsan;Français;;12;12;0;0;0;0;100;632.00;15;15;30;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 5994;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Sunday, November 23, 2025;11:00;90;12:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;15;0;0;0;0;0;225.00;0;0;0;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 5162;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Sunday, November 23, 2025;10:30;90;12:00;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 1;0;20;0;0;0;0;0;360.00;15;0;15;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;;;;;;;;Sunday, November 23, 2025;11:30;90;13:00;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;Français;Expo - Audiophone 2;20;20;0;0;0;0;100;580.00;15;0;15;;;;;;
PRIVATISATIONS - PAUL POIRET;PRIVATISATION;;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 5367;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Français;;Monday, November 24, 2025;09:30;90;11:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;;0;20;0;0;0;0;0;0;15;0;15;;;;;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 4897;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;11:45;90;13:15;1;A;;Français;Collection - Audiophone 1;30;5;25;0;0;0;16;110.00;0;0;0;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3352;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 4156;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;13:15;90;14:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 3352;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;15:15;90;16:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 8;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4064;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;15:45;90;17:15;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 7;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;PAUL POIRET, LA MODE EST UNE FÊTE;Dossier 4157;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;16:15;90;17:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;20;5;15;0;0;0;25;110.00;0;0;0;;;;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5913;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;11:45;90;13:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;8;22;0;0;0;26;0;0;0;0;;;;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 5860;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;14:45;90;16:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;8;22;0;0;0;26;0;0;0;0;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 5875;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Tuesday, November 25, 2025;11:15;90;12:45;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 8;0;10;0;0;0;0;0;260.00;15;0;15;;;;;;
VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;1925-2025. CENT ANS D'ART DÉCO;Dossier 4288;Individuel;Individuels;;00_VL;Français;;Tuesday, November 25, 2025;11:45;90;13:15;1;A;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, NEF - EXPO;;Expo - Audiophone 6;20;10;10;0;0;0;50;185.00;0;0;0;;;;;;
VG - 1H30 - 1925-2025. CENT ANS D'ART DECO;VISITE GUIDÉE;ADULTES (15 ANS ET +);1925-2025. CENT ANS D'ART DÉCO;Dossier 5875;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Tuesday, November 25, 2025;16:00;90;17:30;1;G;N2 - Lefuel - Galerie Jardin, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Marsan - Art Déco, NEF - EXPO;;Expo - Audiophone 3;0;10;0;0;0;0;0;260.00;15;0;15;;;;;;
APA - PHOTO ART DECO;ATELIER DE PRATIQUE ARTISTIQUE;;1925-2025. CENT ANS D'ART DÉCO;Dossier 5293;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;18_Seconde Pro;Français;;Tuesday, November 25, 2025;13:30;120;15:30;1;G;N4 - Atelier Buffon;;;0;13;0;0;0;0;0;0;15;15;30;;;;;;
