musee,idMuseofile,museeLabel,villeLabel,description,labelTourismeHandicap,accessibilitePMRLabel
http://www.wikidata.org/entity/Q1687165,M0878,Musée des Beaux-Arts de Menton,Menton,musée des beaux-arts situé à Menton,,
http://www.wikidata.org/entity/Q3329242,M0732,musée Le Secq des Tournelles,Rouen,"musée situé à Rouen, en France",,
http://www.wikidata.org/entity/Q3329248,M0814,musée Lombart,Doullens,musée à Doullens (Somme),,
http://www.wikidata.org/entity/Q3329259,M1137,musée Mainssieux,Voiron,"musée de Voiron, France",,
http://www.wikidata.org/entity/Q3329292,M0169,musée d'art et d'archéologie de Cluny,Cluny,musée d'art et d'archéologie,,
http://www.wikidata.org/entity/Q3329298,M0331,musée Pascal-Paoli,Morosaglia,"musée à Morosaglia, en Haute-Corse, en France",,
http://www.wikidata.org/entity/Q3329303,M1170,musée Paul-Belmondo,Boulogne-Billancourt,musée français,,
http://www.wikidata.org/entity/Q3330609,M0728,musée industriel de la corderie Vallois,Notre-Dame-de-Bondeville,musée français,,
http://www.wikidata.org/entity/Q3330612,M0282,"musée de la chasse, histoire et nature en Val de Loire",Loiret,musée français,,
http://www.wikidata.org/entity/Q3330612,M0282,"musée de la chasse, histoire et nature en Val de Loire",Gien,musée français,,
http://www.wikidata.org/entity/Q3330618,M0215,musée international du Long-Cours Cap-Hornier,Saint-Malo,musée français,,
http://www.wikidata.org/entity/Q3330631,M0479,musée languedocien,Montpellier,musée français,,
http://www.wikidata.org/entity/Q3330634,M0514,Palais des ducs de Lorraine – Musée lorrain,Nancy,musée français,,
http://www.wikidata.org/entity/Q3330653,M0405,musée municipal d'Étampes,Étampes,musée français,,
http://www.wikidata.org/entity/Q3329326,M0504,musée René-Baubérot,Châteauponsac,musée français,,
http://www.wikidata.org/entity/Q3329327,M0403,musée Robert-Dubois-Corneau,Brunoy,musée français,,
http://www.wikidata.org/entity/Q3329330,M0410,musée Roybet-Fould,Courbevoie,"musée à Courbevoie, dans les Hauts-de-Seine, en France",,
http://www.wikidata.org/entity/Q3329331,M0854,musée Rupert-de-Chièvres,Poitiers,musée d'art à Poitiers (Vienne),,
http://www.wikidata.org/entity/Q3329336,M0184,musée Saint-Germain,Auxerre,musée français,,
http://www.wikidata.org/entity/Q3329337,M1062,musée Saint-John Perse,Pointe-à-Pitre,musée français,,
http://www.wikidata.org/entity/Q3330662,M0397,musée municipal de Saint-Germain-en-Laye,Saint-Germain-en-Laye,musée français,,
http://www.wikidata.org/entity/Q3330662,M0397,musée municipal de Saint-Germain-en-Laye,Saint-Germain-en-Laye,musée français,,
http://www.wikidata.org/entity/Q3330663,M0372,musée municipal des Capucins,Coulommiers,musée à Coulommiers (Seine-et-Marne),,
http://www.wikidata.org/entity/Q3330660,M0635,musée municipal de la tour abbatiale de Saint-Amand-les-Eaux,Saint-Amand-les-Eaux,musée français,,
http://www.wikidata.org/entity/Q3330672,M5048,musée napoléonien de l'île d'Aix,Île-d'Aix,musée français,,
http://www.wikidata.org/entity/Q3330694,M5045,musée national de Port-Royal des Champs,Magny-les-Hameaux,musée français,,
http://www.wikidata.org/entity/Q3330714,M5049,musée national Clemenceau-de-Lattre,Mouilleron-en-Pareds,musée français,,
http://www.wikidata.org/entity/Q3330714,M5049,musée national Clemenceau-de-Lattre,Mouilleron-Saint-Germain,musée français,,
http://www.wikidata.org/entity/Q2036663,M5014,musée national de Préhistoire,Les Eyzies-de-Tayac-Sireuil,musée aux Eyzies,Tourisme et Handicap,
http://www.wikidata.org/entity/Q2036663,M5014,musée national de Préhistoire,Les Eyzies,musée aux Eyzies,Tourisme et Handicap,
http://www.wikidata.org/entity/Q2132965,M0304,musée de Vauluisant,Troyes,musée français,,
http://www.wikidata.org/entity/Q2240951,M0714,musée Louis-Philippe du château d'Eu,Eu,musée en France,,
http://www.wikidata.org/entity/Q2243645,M0291,musée Rimbaud,Charleville-Mézières,musée français,,
http://www.wikidata.org/entity/Q2311435,M0480,Agropolis Museum,Montpellier,musée français,,
http://www.wikidata.org/entity/Q2317145,M0871,musée Renoir,Cagnes-sur-Mer,musée à Cagnes-sur-Mer consacré à Auguste Renoir dans sa propriété des Collettes,,
http://www.wikidata.org/entity/Q17635467,M0672,musée de Vire Normandie,Vire,musée de société du Bocage virois,,
http://www.wikidata.org/entity/Q17635467,M0672,musée de Vire Normandie,Vire Normandie,musée de société du Bocage virois,,
http://www.wikidata.org/entity/Q17772323,M0686,musée du bocage normand,Saint-Lô,musée situé à Saint-Lô,,
http://www.wikidata.org/entity/Q18005483,M0691,musée régional du cidre de Valognes,Valognes,musée en Normandie,,
http://www.wikidata.org/entity/Q18324694,M0068,centre Jean-Moulin de Bordeaux,Bordeaux,musée français à Bordeaux,,
http://www.wikidata.org/entity/Q18414856,M0598,musée de la vigne et du vin de Gaillac,Gaillac,musée en France,,
http://www.wikidata.org/entity/Q18610934,M0595,centre national et musée Jean-Jaurès,Castres,"musée français Castres, Tarn",,
http://www.wikidata.org/entity/Q3329305,M0565,musée des arts précieux Paul-Dupuy,Toulouse,musée français à Toulouse,,
http://www.wikidata.org/entity/Q3329311,M0722,musée Pierre-Corneille,Petit-Couronne,musée à Petit-Couronne (Seine-Maritime),,
http://www.wikidata.org/entity/Q3329313,M0731,musée Pierre-Corneille,Rouen,musée à Rouen (Seine-Maritime),,
http://www.wikidata.org/entity/Q3329316,M0464,musée Pierre-de-Luxembourg,Villeneuve-lès-Avignon,musée d'art sacré français à Villeneuve-lez-Avignon,,
http://www.wikidata.org/entity/Q3329321,M0646,musée Quentovic d'Étaples,Étaples,musée français,,
http://www.wikidata.org/entity/Q3329324,M0264,"musée Rabelais, Maison La Devinière",Seuilly,musée français,,
http://www.wikidata.org/entity/Q3330734,M5027,musée national du Sport,Nice,"musée à Nice, dans les Alpes-Maritimes, en France",,
http://www.wikidata.org/entity/Q3330760,M0828,musée protestant,La Rochelle,musée français,,
http://www.wikidata.org/entity/Q3330768,M0588,musée pyrénéen de Lourdes,Lourdes,musée français,,
http://www.wikidata.org/entity/Q3330783,M0642,musée régional d'ethnologie de Béthune,Béthune,musée français,,
http://www.wikidata.org/entity/Q3330790,M0978,musée régional de Préhistoire,Orgnac-l'Aven,musée français,,
http://www.wikidata.org/entity/Q3330789,M0824,musée régional de Fouras,Fouras,musée français,,
http://www.wikidata.org/entity/Q3330091,M0760,musée de l’ardoise de Trélazé,Trélazé,musée français,,
http://www.wikidata.org/entity/Q3330096,M0885,musée de paléontologie humaine de Terra-Amata,Nice,musée français,,
http://www.wikidata.org/entity/Q3330102,M0221,musée de Préhistoire de Carnac,Carnac,musée français,,
http://www.wikidata.org/entity/Q3330117,M0626,musée des Augustins d'Hazebrouck,Hazebrouck,musée français,,
http://www.wikidata.org/entity/Q3330128,M0832,musée des Cordeliers,Saint-Jean-d'Angély,musée français,,
http://www.wikidata.org/entity/Q3330134,M0569,musée des Amériques - Auch,Auch,"musée à Auch (Gers), en France",,
http://www.wikidata.org/entity/Q3329342,M1061,musée Schœlcher,Pointe-à-Pitre,musée à Pointe-à-Pitre (Guadeloupe),,
http://www.wikidata.org/entity/Q3329340,M0778,musée Sainte-Croix des Sables-d'Olonne,Les Sables-d'Olonne,"musée d'Art moderne et contemporain des Sables-d'Olonne, France",,
